state,f_hz,kappa_ba,qfi,N_basis,converged,n_target,loss_config,eta
coherent,1000.0,0.00016056163311836322,3.581962268408488,20,True,2.0,ba3_full,0.9
coherent,681.2920690579615,0.0006239596771251925,3.5819620885250734,20,True,2.0,ba3_full,0.9
coherent,464.15888336127773,0.0021442527979022635,3.581960765136299,20,True,2.0,ba3_full,0.9
coherent,316.2277660168379,0.0063826566553663415,3.5819488435702995,20,True,2.0,ba3_full,0.9
coherent,215.44346900318845,0.0167111976818866,3.581870163287439,20,True,2.0,ba3_full,0.9
coherent,146.77992676220705,0.03999995827494754,3.581434556358881,20,True,2.0,ba3_full,0.9
coherent,100.0,0.09085899474109728,3.5792411674533025,20,True,2.0,ba3_full,0.9
coherent,68.12920690579615,0.2008134937831689,3.568709186134949,20,True,2.0,ba3_full,0.9
coherent,46.4158883361278,0.43789740209265715,3.5198064806731058,20,True,2.0,ba3_full,0.9
coherent,31.622776601683793,0.94877328660851,3.307755305938512,40,True,2.0,ba3_full,0.9
coherent,21.544346900318843,2.049466585151084,2.5828722944306626,115,True,2.0,ba3_full,0.9
coherent,14.677992676220699,4.420859296356944,1.2793461398532857,360,True,2.0,ba3_full,0.9
coherent,10.0,9.529879754433946,0.38190621843732114,800,False,2.0,ba3_full,0.9
sqz_vac,1000.0,0.00016056163311836322,0.41981531779934483,70,True,2.0,ba3_full,0.9
sqz_vac,681.2920690579615,0.0006239596771251925,0.41981531643878384,70,True,2.0,ba3_full,0.9
sqz_vac,464.15888336127773,0.0021442527979022635,0.4198153006909614,70,True,2.0,ba3_full,0.9
sqz_vac,316.2277660168379,0.0063826566553663415,0.4198151656364945,70,True,2.0,ba3_full,0.9
sqz_vac,215.44346900318845,0.0167111976818866,0.41981428219894457,70,True,2.0,ba3_full,0.9
sqz_vac,146.77992676220705,0.03999995827494754,0.41980961031217734,70,True,2.0,ba3_full,0.9
sqz_vac,100.0,0.09085899474109728,0.419789161806927,70,True,2.0,ba3_full,0.9
sqz_vac,68.12920690579615,0.2008134937831689,0.41969809451476403,70,True,2.0,ba3_full,0.9
sqz_vac,46.4158883361278,0.43789740209265715,0.4192709264132747,70,True,2.0,ba3_full,0.9
sqz_vac,31.622776601683793,0.94877328660851,0.4172869479377645,70,True,2.0,ba3_full,0.9
sqz_vac,21.544346900318843,2.049466585151084,0.40828689632520493,70,True,2.0,ba3_full,0.9
sqz_vac,14.677992676220699,4.420859296356944,0.37107176824940374,70,True,2.0,ba3_full,0.9
sqz_vac,10.0,9.529879754433946,0.2607161019762875,145,True,2.0,ba3_full,0.9
cat,1000.0,0.00016056163311836322,10.795421697267251,20,True,2.0,ba3_full,0.9
cat,681.2920690579615,0.0006239596771251925,10.795419484813118,20,True,2.0,ba3_full,0.9
cat,464.15888336127773,0.0021442527979022635,10.795394464028334,20,True,2.0,ba3_full,0.9
cat,316.2277660168379,0.0063826566553663415,10.795179171570298,20,True,2.0,ba3_full,0.9
cat,215.44346900318845,0.0167111976818866,10.793758443253559,20,True,2.0,ba3_full,0.9
cat,146.77992676220705,0.03999995827494754,10.78589786402109,20,True,2.0,ba3_full,0.9
cat,100.0,0.09085899474109728,10.74644356552827,20,True,2.0,ba3_full,0.9
cat,68.12920690579615,0.2008134937831689,10.55992458037688,20,True,2.0,ba3_full,0.9
cat,46.4158883361278,0.43789740209265715,9.753963819342012,20,True,2.0,ba3_full,0.9
cat,31.622776601683793,0.94877328660851,7.163745523913263,40,True,2.0,ba3_full,0.9
cat,21.544346900318843,2.049466585151084,3.469328152975469,115,True,2.0,ba3_full,0.9
cat,14.677992676220699,4.420859296356944,1.3366907189796151,360,True,2.0,ba3_full,0.9
cat,10.0,9.529879754433946,0.3802088625895085,800,False,2.0,ba3_full,0.9
sqz_cat,1000.0,0.00016056163311836322,9.244267111498589,70,True,2.0,ba3_full,0.9
sqz_cat,681.2920690579615,0.0006239596771251925,9.244266492847176,50,True,2.0,ba3_full,0.9
sqz_cat,464.15888336127773,0.0021442527979022635,9.245076814994553,30,True,2.0,ba3_full,0.9
sqz_cat,316.2277660168379,0.0063826566553663415,9.244140876673226,70,True,2.0,ba3_full,0.9
sqz_cat,215.44346900318845,0.0167111976818866,9.243408303147174,50,True,2.0,ba3_full,0.9
sqz_cat,146.77992676220705,0.03999995827494754,9.240217268490673,30,True,2.0,ba3_full,0.9
sqz_cat,100.0,0.09085899474109728,9.219560118481377,70,True,2.0,ba3_full,0.9
sqz_cat,68.12920690579615,0.2008134937831689,9.126335235169513,50,True,2.0,ba3_full,0.9
sqz_cat,46.4158883361278,0.43789740209265715,8.711923649560548,50,True,2.0,ba3_full,0.9
sqz_cat,31.622776601683793,0.94877328660851,7.090142732202487,50,True,2.0,ba3_full,0.9
sqz_cat,21.544346900318843,2.049466585151084,3.122298731245534,80,True,2.0,ba3_full,0.9
sqz_cat,14.677992676220699,4.420859296356944,0.6502454381619871,155,True,2.0,ba3_full,0.9
sqz_cat,10.0,9.529879754433946,0.3219794544158154,553,True,2.0,ba3_full,0.9
