state,f_hz,kappa_ba,qfi,N_basis,converged,n_target,loss_config,eta
coherent,1000.0,0.0001605616331183,3.9999999991535686,20,True,2.0,injection,0.9
coherent,681.292069,0.0006239596771251,3.999999999153555,20,True,2.0,injection,0.9
coherent,464.158883,0.0021442527979022,3.999999999153534,20,True,2.0,injection,0.9
coherent,316.227766,0.0063826566553663,3.999999999153582,20,True,2.0,injection,0.9
coherent,215.443469,0.0167111976818866,3.9999999991540256,20,True,2.0,injection,0.9
coherent,146.779927,0.0399999582749475,3.999999999154608,20,True,2.0,injection,0.9
coherent,100.0,0.0908589947410972,3.999999999154267,20,True,2.0,injection,0.9
coherent,68.129207,0.2008134937831689,3.9999999991567705,20,True,2.0,injection,0.9
coherent,46.415888,0.4378974020926571,3.999999999158966,20,True,2.0,injection,0.9
coherent,31.622777,0.94877328660851,3.999999999152942,20,True,2.0,injection,0.9
coherent,21.544347,2.049466585151084,3.9999999991563473,20,True,2.0,injection,0.9
coherent,14.677993,4.420859296356944,3.9999999991493262,20,True,2.0,injection,0.9
coherent,10.0,9.529879754433946,3.99999999915689,20,True,2.0,injection,0.9
sqz_vac,1000.0,0.0001605616331183,0.4439964185467173,115,True,2.0,injection,0.9
sqz_vac,681.292069,0.0006239596771251,0.4439965855531639,95,True,2.0,injection,0.9
sqz_vac,464.158883,0.0021442527979022,0.444011810386038,75,True,2.0,injection,0.9
sqz_vac,316.227766,0.0063826566553663,0.4440118103860373,75,True,2.0,injection,0.9
sqz_vac,215.443469,0.0167111976818866,0.4440118103860424,75,True,2.0,injection,0.9
sqz_vac,146.779927,0.0399999582749475,0.4440118103860432,75,True,2.0,injection,0.9
sqz_vac,100.0,0.0908589947410972,0.4440118103860417,75,True,2.0,injection,0.9
sqz_vac,68.129207,0.2008134937831689,0.4440118103860391,75,True,2.0,injection,0.9
sqz_vac,46.415888,0.4378974020926571,0.4440118103860396,75,True,2.0,injection,0.9
sqz_vac,31.622777,0.94877328660851,0.4440118103860424,75,True,2.0,injection,0.9
sqz_vac,21.544347,2.049466585151084,0.4440118103860369,75,True,2.0,injection,0.9
