state,f_hz,kappa_ba,qfi,N_basis,converged,n_target,loss_config,eta
coherent,1000.0,0.0001605616331183,3.360456400182173,20,True,2.0,pn_ba1_detection,0.9
coherent,681.2920690579615,0.0006239596771251,3.3604562975441787,20,True,2.0,pn_ba1_detection,0.9
coherent,464.1588833612777,0.0021442527979022,3.3604551093815767,20,True,2.0,pn_ba1_detection,0.9
coherent,316.2277660168379,0.0063826566553663,3.360444906058832,20,True,2.0,pn_ba1_detection,0.9
coherent,215.44346900318843,0.0167111976818866,3.360377566072626,20,True,2.0,pn_ba1_detection,0.9
coherent,146.77992676220703,0.0399999582749475,3.3600047491463974,20,True,2.0,pn_ba1_detection,0.9
coherent,100.0,0.0908589947410972,3.3581273288387408,20,True,2.0,pn_ba1_detection,0.9
coherent,68.12920690579615,0.2008134937831689,3.349109763104754,20,True,2.0,pn_ba1_detection,0.9
coherent,46.4158883361278,0.4378974020926571,3.307168593908921,20,True,2.0,pn_ba1_detection,0.9
coherent,31.622776601683796,0.94877328660851,3.124182231547389,40,True,2.0,pn_ba1_detection,0.9
coherent,21.544346900318843,2.049466585151084,2.483913291724773,115,True,2.0,pn_ba1_detection,0.9
coherent,14.6779926762207,4.420859296356944,1.27194382644258,360,True,2.0,pn_ba1_detection,0.9
coherent,10.0,9.529879754433946,0.3886179271062547,800,False,2.0,pn_ba1_detection,0.9
sqz_vac,1000.0,0.0001605616331183,0.4457966962098493,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,681.2920690579615,0.0006239596771251,0.4457966972980184,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,464.1588833612777,0.0021442527979022,0.4457967097078231,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,316.2277660168379,0.0063826566553663,0.4457968071112139,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,215.44346900318843,0.0167111976818866,0.445797337665948,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,146.77992676220703,0.0399999582749475,0.4457994870883368,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,100.0,0.0908589947410972,0.4458046427799282,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,68.12920690579615,0.2008134937831689,0.4458265057644369,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,46.4158883361278,0.4378974020926571,0.4459314071401791,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,31.622776601683796,0.94877328660851,0.4464720935607331,70,True,2.0,pn_ba1_detection,0.9
sqz_vac,21.544346900318843,2.049466585151084,0.449079004161371,100,True,2.0,pn_ba1_detection,0.9
sqz_vac,14.6779926762207,4.420859296356944,0.427086548228804,243,True,2.0,pn_ba1_detection,0.9
sqz_vac,10.0,9.529879754433946,0.2765667052610527,800,False,2.0,pn_ba1_detection,0.9
cat,1000.0,0.0001605616331183,14.961393280481522,20,True,2.0,pn_ba1_detection,0.9
cat,681.2920690579615,0.0006239596771251,14.961389805965876,20,True,2.0,pn_ba1_detection,0.9
cat,464.1588833612777,0.0021442527979022,14.961349584207412,20,True,2.0,pn_ba1_detection,0.9
cat,316.2277660168379,0.0063826566553663,14.961004186693458,20,True,2.0,pn_ba1_detection,0.9
cat,215.44346900318843,0.0167111976818866,14.958724900810942,20,True,2.0,pn_ba1_detection,0.9
cat,146.77992676220703,0.0399999582749475,14.946114543073929,20,True,2.0,pn_ba1_detection,0.9
cat,100.0,0.0908589947410972,14.882830911704144,20,True,2.0,pn_ba1_detection,0.9
cat,68.12920690579615,0.2008134937831689,14.583898716580432,20,True,2.0,pn_ba1_detection,0.9
cat,46.4158883361278,0.4378974020926571,13.29658724565048,20,True,2.0,pn_ba1_detection,0.9
cat,31.622776601683796,0.94877328660851,9.212821232480206,40,True,2.0,pn_ba1_detection,0.9
cat,21.544346900318843,2.049466585151084,3.7896136038876143,115,True,2.0,pn_ba1_detection,0.9
cat,14.6779926762207,4.420859296356944,1.3497266641085832,360,True,2.0,pn_ba1_detection,0.9
cat,10.0,9.529879754433946,0.4748062418001251,800,False,2.0,pn_ba1_detection,0.9
sqz_cat,1000.0,0.0001605616331183,10.91454913772172,70,True,2.0,pn_ba1_detection,0.9
sqz_cat,681.2920690579615,0.0006239596771251,10.914548079470348,50,True,2.0,pn_ba1_detection,0.9
sqz_cat,464.1588833612777,0.0021442527979022,10.914777244393113,30,True,2.0,pn_ba1_detection,0.9
sqz_cat,316.2277660168379,0.0063826566553663,10.914432491679367,70,True,2.0,pn_ba1_detection,0.9
sqz_cat,215.44346900318843,0.0167111976818866,10.913749098222272,50,True,2.0,pn_ba1_detection,0.9
sqz_cat,146.77992676220703,0.0399999582749475,10.910189891897955,30,True,2.0,pn_ba1_detection,0.9
sqz_cat,100.0,0.0908589947410972,10.890930354037453,70,True,2.0,pn_ba1_detection,0.9
sqz_cat,68.12920690579615,0.2008134937831689,10.799813913135804,50,True,2.0,pn_ba1_detection,0.9
sqz_cat,46.4158883361278,0.4378974020926571,10.382975746105933,50,True,2.0,pn_ba1_detection,0.9
sqz_cat,31.622776601683796,0.94877328660851,8.693561854808676,50,True,2.0,pn_ba1_detection,0.9
sqz_cat,21.544346900318843,2.049466585151084,4.296768563095404,80,True,2.0,pn_ba1_detection,0.9
sqz_cat,14.6779926762207,4.420859296356944,0.911779156523846,223,True,2.0,pn_ba1_detection,0.9
sqz_cat,10.0,9.529879754433946,0.3329497176834891,800,False,2.0,pn_ba1_detection,0.9
fock,1000.0,0.0001605616331183,12.18212430193063,20,True,2.0,pn_ba1_detection,0.9
fock,681.2920690579615,0.0006239596771251,12.182122999905964,20,True,2.0,pn_ba1_detection,0.9
fock,464.1588833612777,0.0021442527979022,12.182107927366287,20,True,2.0,pn_ba1_detection,0.9
fock,316.2277660168379,0.0063826566553663,12.181978493318704,20,True,2.0,pn_ba1_detection,0.9
fock,215.44346900318843,0.0167111976818866,12.18112430237899,20,True,2.0,pn_ba1_detection,0.9
fock,146.77992676220703,0.0399999582749475,12.176396755330584,20,True,2.0,pn_ba1_detection,0.9
fock,100.0,0.0908589947410972,12.152629780926135,20,True,2.0,pn_ba1_detection,0.9
fock,68.12920690579615,0.2008134937831689,12.039392535084854,20,True,2.0,pn_ba1_detection,0.9
fock,46.4158883361278,0.4378974020926571,11.532171969078714,20,True,2.0,pn_ba1_detection,0.9
fock,31.622776601683796,0.94877328660851,9.64214271346868,40,True,2.0,pn_ba1_detection,0.9
fock,21.544346900318843,2.049466585151084,5.586641082137251,70,True,2.0,pn_ba1_detection,0.9
fock,14.6779926762207,4.420859296356944,1.944321226820533,213,True,2.0,pn_ba1_detection,0.9
fock,10.0,9.529879754433946,0.5169134086271174,800,False,2.0,pn_ba1_detection,0.9
opt_fock_sup,1000.0,0.0001605616331183,7.810045994418779,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,681.2920690579615,0.0006239596771251,7.8100456697100675,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,464.1588833612777,0.0021442527979022,7.810041910628248,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,316.2277660168379,0.0063826566553663,7.810009629115253,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,215.44346900318843,0.0167111976818866,7.809796573218882,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,146.77992676220703,0.0399999582749475,7.808616919819624,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,100.0,0.0908589947410972,7.802675910299409,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,68.12920690579615,0.2008134937831689,7.774117336666204,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,46.4158883361278,0.4378974020926571,7.640900645978465,20,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,31.622776601683796,0.94877328660851,7.05661908774476,40,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,21.544346900318843,2.049466585151084,5.060087307452865,70,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,14.6779926762207,4.420859296356944,1.9814439139962052,315,True,2.0,pn_ba1_detection,0.9
opt_fock_sup,10.0,9.529879754433946,0.550416517770757,800,False,2.0,pn_ba1_detection,0.9
sqz_vac_p,1000.0,0.00016056163311836322,14.476527979724843,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,681.2920690579615,0.0006239596771251925,14.476525549032573,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,464.15888336127773,0.0021442527979022635,14.476497410658961,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,316.2277660168379,0.0063826566553663415,14.476255775433536,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,215.44346900318845,0.0167111976818866,14.474661177125814,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,146.77992676220705,0.03999995827494754,14.465839636051628,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,100.0,0.09085899474109728,14.42159357964071,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,68.12920690579615,0.2008134937831689,14.213096579827347,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,46.4158883361278,0.43789740209265715,13.321095763050387,70,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,31.622776601683793,0.94877328660851,10.412456908163726,145,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,21.544346900318843,2.049466585151084,5.291949295025317,288,True,2.0,pn_ba1_detection,0.9
sqz_vac_p,14.677992676220699,4.420859296356944,1.6332229250518773,800,False,2.0,pn_ba1_detection,0.9
sqz_vac_p,10.0,9.529879754433946,1.6876454185266405,800,False,2.0,pn_ba1_detection,0.9
