state,n,f_hz,kappa_ba,qfi,N_basis,converged,loss_config,eta,scaling_exponent
coherent,1.0,30.0,1.0547108260943505,3.9999999991982307,20,True,ba2_injection,0.9,-2.5712314905580406e-11
coherent,2.0,30.0,1.0547108260943505,3.999999999152268,20,True,ba2_injection,0.9,-2.5712314905580406e-11
coherent,5.0,30.0,1.0547108260943505,3.9999999991989332,40,True,ba2_injection,0.9,-2.5712314905580406e-11
coherent,10.0,30.0,1.0547108260943505,3.9999999989053374,40,True,ba2_injection,0.9,-2.5712314905580406e-11
sqz_vac,1.0,30.0,1.0547108260943505,0.7483532749432471,40,True,ba2_injection,0.9,-0.8521056672445084
sqz_vac,2.0,30.0,1.0547108260943505,0.44399641854671723,115,True,ba2_injection,0.9,-0.8521056672445084
sqz_vac,5.0,30.0,1.0547108260943505,0.20142014633173042,190,True,ba2_injection,0.9,-0.8521056672445084
sqz_vac,10.0,30.0,1.0547108260943505,0.10560104478465032,333,True,ba2_injection,0.9,-0.8521056672445084
cat,1.0,30.0,1.0547108260943505,14.303710706963553,20,True,ba2_injection,0.9,-0.3202057544021225
cat,2.0,30.0,1.0547108260943505,17.073098322530427,20,True,ba2_injection,0.9,-0.3202057544021225
cat,5.0,30.0,1.0547108260943505,13.745638369263048,40,True,ba2_injection,0.9,-0.3202057544021225
cat,10.0,30.0,1.0547108260943505,6.6374522373654745,40,True,ba2_injection,0.9,-0.3202057544021225
sqz_cat,1.0,30.0,1.0547108260943505,8.963919699257303,40,True,ba2_injection,0.9,0.28926344972930956
sqz_cat,2.0,30.0,1.0547108260943505,12.219595405903883,70,True,ba2_injection,0.9,0.28926344972930956
sqz_cat,5.0,30.0,1.0547108260943505,17.73930384653347,100,True,ba2_injection,0.9,0.28926344972930956
sqz_cat,10.0,30.0,1.0547108260943505,16.71666559797628,175,True,ba2_injection,0.9,0.28926344972930956
fock,1.0,30.0,1.0547108260943505,9.759999995391997,20,True,ba2_injection,0.9,0.34085331052291906
fock,2.0,30.0,1.0547108260943505,13.535693770456124,20,True,ba2_injection,0.9,0.34085331052291906
fock,5.0,30.0,1.0547108260943505,18.947829402049326,20,True,ba2_injection,0.9,0.34085331052291906
fock,10.0,30.0,1.0547108260943505,21.19086688497415,20,True,ba2_injection,0.9,0.34085331052291906
opt_fock_sup,1.0,30.0,1.0547108260943505,2.4358288858463815,20,True,ba2_injection,0.9,0.44963116863214275
opt_fock_sup,2.0,30.0,1.0547108260943505,8.825683233565101,20,True,ba2_injection,0.9,0.44963116863214275
opt_fock_sup,5.0,30.0,1.0547108260943505,5.657685837693531,20,True,ba2_injection,0.9,0.44963116863214275
opt_fock_sup,10.0,30.0,1.0547108260943505,9.645524537376582,20,True,ba2_injection,0.9,0.44963116863214275
