state,n,f_hz,kappa_ba,qfi,N_basis,converged,eta_out,scaling_exponent
coherent,1.0,30.0,1.0547108260943505,3.2723780290842543,40,True,0.9,-1.2865585613614046e-08
coherent,2.0,30.0,1.0547108260943505,3.272378335172599,40,True,0.9,-1.2865585613614046e-08
coherent,5.0,30.0,1.0547108260943505,3.272378028001058,70,True,0.9,-1.2865585613614046e-08
coherent,10.0,30.0,1.0547108260943505,3.272378039027565,100,True,0.9,-1.2865585613614046e-08
sqz_vac,1.0,30.0,1.0547108260943505,0.665053095278677,70,True,0.9,-0.8469273296647928
sqz_vac,2.0,30.0,1.0547108260943505,0.3972609056313433,100,True,0.9,-0.8469273296647928
sqz_vac,5.0,30.0,1.0547108260943505,0.18098349858536428,175,True,0.9,-0.8469273296647928
sqz_vac,10.0,30.0,1.0547108260943505,0.09499136659709666,400,False,0.9,-0.8469273296647928
cat,1.0,30.0,1.0547108260943505,8.822043656977698,40,True,0.9,-0.4321177932576747
cat,2.0,30.0,1.0547108260943505,8.712306547690979,40,True,0.9,-0.4321177932576747
cat,5.0,30.0,1.0547108260943505,5.134112024151038,70,True,0.9,-0.4321177932576747
cat,10.0,30.0,1.0547108260943505,3.4388787627221253,100,True,0.9,-0.4321177932576747
sqz_cat,1.0,30.0,1.0547108260943505,6.627585886348729,40,True,0.9,0.16612696766561444
sqz_cat,2.0,30.0,1.0547108260943505,8.522673935912701,70,True,0.9,0.16612696766561444
sqz_cat,5.0,30.0,1.0547108260943505,10.782958856415517,100,True,0.9,0.16612696766561444
sqz_cat,10.0,30.0,1.0547108260943505,9.40015898476347,243,True,0.9,0.16612696766561444
fock,1.0,30.0,1.0547108260943505,6.969257675877344,40,True,0.9,0.3749413476434484
fock,2.0,30.0,1.0547108260943505,9.195043607851721,40,True,0.9,0.3749413476434484
fock,5.0,30.0,1.0547108260943505,13.221821495458254,40,True,0.9,0.3749413476434484
fock,10.0,30.0,1.0547108260943505,16.395781236682858,70,True,0.9,0.3749413476434484
opt_fock_sup,1.0,30.0,1.0547108260943505,1.9891835970149327,40,True,0.9,0.44178119339862837
opt_fock_sup,2.0,30.0,1.0547108260943505,6.976565642826712,40,True,0.9,0.44178119339862837
opt_fock_sup,5.0,30.0,1.0547108260943505,4.6061784990801415,70,True,0.9,0.44178119339862837
opt_fock_sup,10.0,30.0,1.0547108260943505,7.623665385326592,70,True,0.9,0.44178119339862837
