state,f_hz,kappa_ba,qfi,N_basis,converged,n_target,eta_out
coherent,1000.0,0.00016056163311836322,3.599999986714777,20,True,2.0,0.9
coherent,681.2920690579615,0.0006239596771251925,3.5999998100316417,20,True,2.0,0.9
coherent,464.15888336127773,0.0021442527979022635,3.5999985102151655,20,True,2.0,0.9
coherent,316.2277660168379,0.0063826566553663415,3.599986800736043,20,True,2.0,0.9
coherent,215.44346900318845,0.0167111976818866,3.599909520177189,20,True,2.0,0.9
coherent,146.77992676220705,0.03999995827494754,3.5994816616236154,20,True,2.0,0.9
coherent,100.0,0.09085899474109728,3.597327249929341,20,True,2.0,0.9
coherent,68.12920690579615,0.2008134937831689,3.586981591079182,20,True,2.0,0.9
coherent,46.4158883361278,0.43789740209265715,3.5389264830715472,20,True,2.0,0.9
coherent,31.622776601683793,0.94877328660851,3.3302022729558596,40,True,2.0,0.9
coherent,21.544346900318843,2.049466585151084,2.6124283391128924,115,True,2.0,0.9
coherent,14.677992676220699,4.420859296356944,1.3048392154519992,360,True,2.0,0.9
coherent,10.0,9.529879754433946,0.3916209494647771,800,False,2.0,0.9
sqz_vac,1000.0,0.00016056163311836322,0.39959677575887964,115,True,2.0,0.9
sqz_vac,681.2920690579615,0.0006239596771251925,0.3995968479857418,95,True,2.0,0.9
sqz_vac,464.15888336127773,0.0021442527979022635,0.399604670290691,75,True,2.0,0.9
sqz_vac,316.2277660168379,0.0063826566553663415,0.39960459689424516,75,True,2.0,0.9
sqz_vac,215.44346900318845,0.0167111976818866,0.399604115236927,75,True,2.0,0.9
sqz_vac,146.77992676220705,0.03999995827494754,0.39960120627974205,75,True,2.0,0.9
sqz_vac,100.0,0.09085899474109728,0.3995873585881108,75,True,2.0,0.9
sqz_vac,68.12920690579615,0.2008134937831689,0.3995198004888148,75,True,2.0,0.9
sqz_vac,46.4158883361278,0.43789740209265715,0.39920032189007726,75,True,2.0,0.9
sqz_vac,31.622776601683793,0.94877328660851,0.39771246568649243,75,True,2.0,0.9
sqz_vac,21.544346900318843,2.049466585151084,0.39092624348694616,75,True,2.0,0.9
sqz_vac,14.677992676220699,4.420859296356944,0.36218408334951524,75,True,2.0,0.9
sqz_vac,10.0,9.529879754433946,0.26998686087792934,150,True,2.0,0.9
