state,n,f_hz,kappa_ba,qfi,N_basis,converged,loss_config,eta,scaling_exponent
coherent,1.0,30.0,1.0547108260943505,3.9999999991931263,20,True,injection,0.9,-2.522470733594727e-11
coherent,2.0,30.0,1.0547108260943505,3.999999999156763,20,True,injection,0.9,-2.522470733594727e-11
coherent,5.0,30.0,1.0547108260943505,3.9999999992019024,40,True,injection,0.9,-2.522470733594727e-11
coherent,10.0,30.0,1.0547108260943505,3.9999999989060453,40,True,injection,0.9,-2.522470733594727e-11
sqz_vac,1.0,30.0,1.0547108260943505,0.7483532749432485,40,True,injection,0.9,-0.8521056672445081
sqz_vac,2.0,30.0,1.0547108260943505,0.4439964185467162,115,True,injection,0.9,-0.8521056672445081
sqz_vac,5.0,30.0,1.0547108260943505,0.20142014633173239,190,True,injection,0.9,-0.8521056672445081
sqz_vac,10.0,30.0,1.0547108260943505,0.10560104478465007,333,True,injection,0.9,-0.8521056672445081
cat,1.0,30.0,1.0547108260943505,14.303710706963543,20,True,injection,0.9,-0.32020575440212146
cat,2.0,30.0,1.0547108260943505,17.073098322530413,20,True,injection,0.9,-0.32020575440212146
cat,5.0,30.0,1.0547108260943505,13.74563836926306,40,True,injection,0.9,-0.32020575440212146
cat,10.0,30.0,1.0547108260943505,6.637452237365483,40,True,injection,0.9,-0.32020575440212146
sqz_cat,1.0,30.0,1.0547108260943505,8.963919699257312,40,True,injection,0.9,0.2892634497293113
sqz_cat,2.0,30.0,1.0547108260943505,12.219595405903855,70,True,injection,0.9,0.2892634497293113
sqz_cat,5.0,30.0,1.0547108260943505,17.7393038465335,100,True,injection,0.9,0.2892634497293113
sqz_cat,10.0,30.0,1.0547108260943505,16.71666559797634,175,True,injection,0.9,0.2892634497293113
fock,1.0,30.0,1.0547108260943505,9.759999995392002,20,True,injection,0.9,0.3408533105229188
fock,2.0,30.0,1.0547108260943505,13.535693770456108,20,True,injection,0.9,0.3408533105229188
fock,5.0,30.0,1.0547108260943505,18.947829402049333,20,True,injection,0.9,0.3408533105229188
fock,10.0,30.0,1.0547108260943505,21.190866884974135,20,True,injection,0.9,0.3408533105229188
opt_fock_sup,1.0,30.0,1.0547108260943505,2.435828885846381,20,True,injection,0.9,0.4496311686321431
opt_fock_sup,2.0,30.0,1.0547108260943505,8.825683233565101,20,True,injection,0.9,0.4496311686321431
opt_fock_sup,5.0,30.0,1.0547108260943505,5.657685837693537,20,True,injection,0.9,0.4496311686321431
opt_fock_sup,10.0,30.0,1.0547108260943505,9.645524537376582,20,True,injection,0.9,0.4496311686321431
