panel,family,nbar,chi_eff,lam_lin,lam_kerr,rel_err
families,coherent,4.0,0.05,0.5256328112796829,0.5256229548770932,1.87514979623563e-05
families,coherent,4.0,0.1,0.5525624609862569,0.5524832215392663,0.00014340360155698436
families,coherent,4.0,0.2,0.6104987562112146,0.6098589305101452,0.0010480376815839116
families,coherent,4.0,0.4,0.7439607805437188,0.7387572437382434,0.006994369786096119
families,coherent,4.0,0.8,1.0908131845707727,1.0481203537594077,0.039138535741263816
families,coherent,4.0,1.6,2.1644998779892846,1.8139409400714355,0.16195840040587176
families,squeezed,4.0,0.05,8.994616858147833,8.93066244822621,0.0071102984073956625
families,squeezed,4.0,0.1,9.062114882384407,8.811494599310597,0.027655827180141267
families,squeezed,4.0,0.2,9.332076927460603,8.40096913342358,0.09977498056163066
families,squeezed,4.0,0.4,10.411510056348682,7.380986843186655,0.29107432032052727
families,squeezed,4.0,0.8,14.725164524367592,6.035976522751659,0.5900910639902757
families,squeezed,4.0,1.6,31.960790003316873,5.148293364555963,0.8389184571463448
families,fock,4.0,0.05,4.730695301517103,4.5,0.04876562255935618
families,fock,4.0,0.1,4.9730621488762665,4.5,0.09512492197250372
families,fock,4.0,0.2,5.494488805900879,4.499999999999999,0.1809975124224178
families,fock,4.0,0.4,6.695647024893402,4.5,0.32792156108742276
families,fock,4.0,0.8,9.817318661136843,4.499999999999999,0.5416263691415207
families,fock,4.0,1.6,19.480498901903303,4.499999999999999,0.7689997559785116
families,cat,4.0,0.05,8.525243825604909,8.50141299657611,0.002795325214889902
families,cat,4.0,0.1,8.592920375526809,8.497643681531612,0.011087812970611436
families,cat,4.0,0.2,8.86299608698182,8.482605169312263,0.042918998715150494
families,cat,4.0,0.4,9.934788547010116,8.423066326515183,0.15216450892151975
families,cat,4.0,0.8,14.142711843802914,8.19445694641216,0.42058800059602247
families,cat,4.0,1.6,30.628775251065598,7.415477279152871,0.7578918119197443
families,sqz_cat,4.0,0.05,8.993981517696536,8.943042172748083,0.005663714657209968
families,sqz_cat,4.0,0.1,9.061479528826638,8.859744529593282,0.022262920596089253
families,sqz_cat,4.0,0.2,9.331440827960023,8.55432514357367,0.0832792811650117
families,sqz_cat,4.0,0.4,10.410861406421148,7.658868258475156,0.2643386594550797
families,sqz_cat,4.0,0.8,14.724371952035867,6.1836628092580135,0.5800389429579013
families,sqz_cat,4.0,1.6,31.958986881438562,5.153173838154015,0.8387566584237711
coherent_nbar,coherent,2.0,0.05,0.5256328112796769,0.5256130162933438,3.7659343002002465e-05
coherent_nbar,coherent,2.0,0.1,0.5525624609862506,0.5524033706710325,0.00028791372279279913
coherent_nbar,coherent,2.0,0.2,0.6104987562112073,0.6092162103616356,0.0021008164824629903
coherent_nbar,coherent,2.0,0.4,0.7439607805437094,0.7336023911723422,0.013923300316714288
coherent_nbar,coherent,2.0,0.8,1.0908131845707567,1.008150366668391,0.07578091195780153
coherent_nbar,coherent,2.0,1.6,2.164499877989247,1.548227714011208,0.2847180405251566
coherent_nbar,coherent,8.0,0.05,0.5256328112796742,0.5256278933975707,9.356117042193886e-06
coherent_nbar,coherent,8.0,0.1,0.5525624609862475,0.5525229191744151,7.156080013440334e-05
coherent_nbar,coherent,8.0,0.2,0.6104987562112036,0.6101792517183,0.000523349948960583
coherent_nbar,coherent,8.0,0.4,0.743960780543704,0.7413542827153877,0.00350354198296763
coherent_nbar,coherent,8.0,0.8,1.0908131845707465,1.0691529387124532,0.019856971078706723
coherent_nbar,coherent,8.0,1.6,2.164499877989221,1.9777525959358964,0.08627733544933684
coherent_nbar,coherent,32.0,0.05,0.5256328112796835,0.5256315837490844,2.335338610578272e-06
coherent_nbar,coherent,32.0,0.1,0.5525624609862578,0.5525525903043316,1.786346815641915e-05
coherent_nbar,coherent,32.0,0.2,0.610498756211216,0.6104189617904369,0.00013070365822578917
coherent_nbar,coherent,32.0,0.4,0.7439607805437214,0.7433084232867175,0.0008768704938008717
coherent_nbar,coherent,32.0,0.8,1.0908131845707787,1.085342822314352,0.005014939619178914
coherent_nbar,coherent,32.0,1.6,2.1644998779893023,2.1156094728454526,0.022587391037076934
