state,cost_i_weighted_inverse,cost_ii_worst_case_qfi,cost_iii_total_qfi
coherent,2.2506976107339263e-48,9.909392626748502e+46,7.524984054570729e+48
squeezed,4.900787395442641e-49,5.190211123568016e+47,3.111022927577786e+49
fock,7.069901115636104e-49,3.3532602920599705e+47,2.214650767893171e+49
cat_even,6.2655826470540014e-49,4.229593203707428e+47,2.421481579291945e+49
cat_odd,6.372854970508109e-49,4.154250356812902e+47,2.382401439340913e+49
squeezed_cat,4.908271707523607e-49,5.182205929139846e+47,3.1060459391835156e+49
opt_no_ba,4.8893358097e-49,5.189745197189008e+47,3.1190930008788073e+49
