state,f_Hz,kappa,qfi_lambda,qfi_h,sigma_h_over_hSQL,cutoff,converged
coherent,200.00000000000003,2.6939655172413777,1.088816900197079,8.784568800189365e+47,0.5838839766095949,269,True
coherent,246.5693478884132,1.6538488223226122,1.4444263760742857,1.0873840624640002e+48,0.6470001638912246,122,True
coherent,303.9822165905867,0.9876733382945372,1.6547237337654273,1.1307035428866778e+48,0.782223009465419,65,True
coherent,374.76348457207666,0.5698658736556361,1.7488849200532404,1.0480017104322769e+48,1.0016893548126258,54,True
coherent,462.02594001663215,0.31586214339346,1.7839812743561396,9.006045976729125e+47,1.3321590061767796,54,True
coherent,569.6071736871604,0.1676660465988845,1.7954573648737644,7.312816788771367e+47,1.8225938038612883,54,True
coherent,702.2383468430263,0.08527290600740692,1.7988227924741416,5.6634634112817015e+47,2.5532907821388777,54,True
coherent,865.7522562166115,0.041712694135205744,1.7997181724184403,4.212826546930868e+47,3.649754297271458,54,True
coherent,1067.3398462412626,0.01974582646328254,1.799936838379465,3.031458302111e+47,5.304368768158148,54,True
coherent,1315.8664493151366,0.009108174202307232,1.799986560749884,2.125385875570767e+47,7.809976094953581,54,True
coherent,1622.2616615793747,0.004120543351264026,1.7999972494252576,1.4614424236186834e+47,11.6114601347477,54,True
coherent,2000.0000000000002,0.0018382352941176457,1.7999994525844767,9.909392626748502e+46,17.384542390698485,54,True
squeezed,200.00000000000003,2.6939655172413777,1.981165155416162,1.598402964643643e+48,0.4328562007524321,364,True
squeezed,246.5693478884132,1.6538488223226122,3.9014209243189875,2.9370433857612244e+48,0.3936775881921455,165,True
squeezed,303.9822165905867,0.9876733382945372,6.263527017074246,4.279984655236862e+48,0.40205350939497336,88,True
squeezed,374.76348457207666,0.5698658736556361,8.072076215377155,4.837110540239222e+48,0.46625236536593173,54,True
squeezed,462.02594001663215,0.31586214339346,8.964760785940062,4.5256667751567906e+48,0.5942673337992327,54,True
squeezed,569.6071736871604,0.1676660465988845,9.29256218931135,3.784818627173352e+48,0.8011423679788248,54,True
squeezed,702.2383468430263,0.08527290600740692,9.392454332687247,2.957146289109698e+48,1.117390364871689,54,True
squeezed,865.7522562166115,0.041712694135205744,9.419329555881745,2.2049008681167537e+48,1.5953496580721918,54,True
squeezed,1067.3398462412626,0.01974582646328254,9.425913163578892,1.587514745263774e+48,2.317931645995387,54,True
squeezed,1315.8664493151366,0.009108174202307232,9.427411448976157,1.1131687076874947e+48,3.4126213615462477,54,True
squeezed,1622.2616615793747,0.004120543351264026,9.427733596355704,7.65450605032243e+47,5.073633651543583,54,True
squeezed,2000.0000000000002,0.0018382352941176457,9.42780000057959,5.190211123568016e+47,7.596162895886776,54,True
fock,200.00000000000003,2.6939655172413777,2.0355951115063364,1.6423170234701433e+48,0.42702989941754177,269,True
fock,246.5693478884132,1.6538488223226122,3.41700034017552,2.5723649006184012e+48,0.42065841857697306,122,True
fock,303.9822165905867,0.9876733382945372,4.739142940655623,3.238344627505856e+48,0.4622143566851043,65,True
fock,374.76348457207666,0.5698658736556361,5.560546575204343,3.332101646559505e+48,0.5617653311331716,54,True
fock,462.02594001663215,0.31586214339346,5.917506857539977,2.9873261335576027e+48,0.7314452534605387,54,True
fock,569.6071736871604,0.1676660465988845,6.041134424345444,2.4605267775146567e+48,0.9936151120104803,54,True
fock,702.2383468430263,0.08527290600740692,6.078068751413019,1.9136359695296183e+48,1.3890301230464395,54,True
fock,865.7522562166115,0.041712694135205744,6.087948014589436,1.425082515988194e+48,1.9844054535098887,54,True
fock,1067.3398462412626,0.01974582646328254,6.090364079005128,1.025740701368232e+48,2.8836378304292056,54,True
fock,1315.8664493151366,0.009108174202307232,6.090913647619154,7.1920213840806624e+47,4.245639494655231,54,True
fock,1622.2616615793747,0.004120543351264026,6.091031796507965,4.9453921520543375e+47,6.312150176162596,54,True
fock,2000.0000000000002,0.0018382352941176457,6.091056149888083,3.3532602920599705e+47,9.450464353847176,54,True
cat_even,200.00000000000003,2.6939655172413777,1.3716740582525786,1.106665880551057e+48,0.520209790166693,269,True
cat_even,246.5693478884132,1.6538488223226122,2.6279277143462108,1.9783401641099323e+48,0.47967312687763863,122,True
cat_even,303.9822165905867,0.9876733382945372,4.614171685794006,3.152949441743049e+48,0.4684318969870447,65,True
cat_even,374.76348457207666,0.5698658736556361,6.3450862773185355,3.8022291777024195e+48,0.5258899956977362,54,True
cat_even,462.02594001663215,0.31586214339346,7.225910163093148,3.647845416764151e+48,0.6619191289169168,54,True
cat_even,569.6071736871604,0.1676660465988845,7.549498870591708,3.074876806754757e+48,0.8888293267892099,54,True
cat_even,702.2383468430263,0.08527290600740692,7.6480285147984555,2.4079264418494878e+48,1.2382824534885,54,True
cat_even,865.7522562166115,0.041712694135205744,7.674528222574055,1.7964732882473212e+48,1.7674211014451222,54,True
