kappa,qfi_no_BA_optimal_state,qfi_gaussian_optimum,qfi_free_optimum,gain_over_no_BA_state,gain_over_gaussian,nbar_realised,overlap_with_gaussian_optimum,n_iter
0.0,9.428108581560886,9.428108580743297,9.428108580743297,0.9999999999132817,1.0,1.9999999999735147,1.0000000000000002,0
0.5,8.347208058865972,8.874679482464249,8.874679482464249,1.0631913592998348,1.0,1.9999999999735154,1.0,0
1.5,4.354207260416437,6.038882117474667,6.038882117474667,1.386907364831574,1.0,1.999999999973519,1.0,0
3.0,2.356475340963651,2.9055055662352514,2.9345360739592103,1.2453073549919553,1.0099915512333968,2.0124523461585944,0.9792515893797192,60
