case,kappa_cross,joint_sum_qfi,per_frequency_sum_qfi,rel_defect,max_offdiag
product squeezed,0.0,6.691385327020313,6.6913853301262565,-4.641704079299763e-10,2.416040563262297e-16
product cat,0.0,5.255026613991508,5.255026618299493,-8.197836838304631e-10,1.6307341932694534e-16
"product squeezed, cross BA",0.8,6.792333971951921,6.6913853301262565,0.015086359078914334,1.175047674963754
"product cat, cross BA",0.8,5.4439304954612275,5.255026618299493,0.035947273131579825,0.8919688057552702
two-mode squeezed,0.0,3.110286478254099,1.7484929395674607,0.7788384544598256,1.0152513681498878
entangled cat,0.0,3.640575494906845,2.884052988088721,0.26231227718166017,0.4334158509315728
