config,state,alpha_fit_nbar_ge_1,alpha_local_top_two,prefactor,logfit_rms,n_points_fitted
"no back-action, lossless",coherent,-8.140847365915776e-16,1.095258755857223e-15,3.999999999200006,3.510833468576701e-16,4
"no back-action, lossless",squeezed,0.8338232615194109,0.9109119163688797,22.853080534382094,0.020759711420432085,4
"no back-action, lossless",fock,0.8186326320467734,0.9069208969491106,11.723290753767742,0.024196677245243433,4
"no back-action, lossless",cat_even,0.8566587026813783,0.9504005802210972,21.005872987248498,0.02841558895859154,4
"no back-action, lossless",cat_odd,1.1662142398569537,0.9519289167809826,13.32664849606149,0.10526623882284034,4
"no back-action, lossless",squeezed_cat,0.8339210552603359,0.9109878016653716,22.84818984627944,0.020758997587448834,4
"no back-action, lossless",opt_no_ba,0.8338203414582421,0.9108980440752336,22.85310509563452,0.020758318750215003,4
"BA kappa=1, lossless",coherent,1.6500117576151315e-12,-4.5132327553021547e-11,3.999999999179617,7.36982024980789e-12,4
"BA kappa=1, lossless",squeezed,0.8338232785476479,0.9109119237130653,22.85307985872449,0.02075973717160233,4
"BA kappa=1, lossless",fock,0.8186326320460768,0.9069208969510449,11.723290753778468,0.024196677245800838,4
"BA kappa=1, lossless",cat_even,0.8566587026831484,0.9504005802221098,21.00587298719621,0.028415588959526686,4
"BA kappa=1, lossless",cat_odd,1.1662142398564277,0.9519289167717122,13.326648496057075,0.10526623882106077,4
"BA kappa=1, lossless",squeezed_cat,0.8339210556830291,0.9109878041745844,22.84818996067952,0.02075899324296119,4
"BA kappa=1, lossless",opt_no_ba,0.8338232659754174,0.9109119297209184,22.853080565437605,0.020759710630662988,4
"BA kappa=1, detection eta=0.9",coherent,1.1790148537696644e-11,-2.6805088976306382e-11,3.302752203264364,5.88573449251542e-12,4
"BA kappa=1, detection eta=0.9",squeezed,0.22916683832485166,0.15604300484762698,10.374072912407767,0.01701883158472595,4
"BA kappa=1, detection eta=0.9",fock,0.39503297274019533,0.36232707570646894,7.145158555873424,0.005265913974171206,4
"BA kappa=1, detection eta=0.9",cat_even,-0.37139514816884206,-0.8105939931672786,10.1582414111252,0.11311489119083414,4
"BA kappa=1, detection eta=0.9",cat_odd,-0.24151248952879373,-0.8072761337130264,8.39131415956843,0.16843374942995815,4
"BA kappa=1, detection eta=0.9",squeezed_cat,0.2281950218086425,0.15580063890720566,10.364239980958219,0.016903576400560064,4
"BA kappa=1, detection eta=0.9",opt_no_ba,0.22916683832436105,0.1560430047866915,10.374072912393881,0.01701883159088225,4
"BA kappa=2, detection eta=0.9",coherent,1.0601504655230021e-11,5.45745532862499e-11,2.6470587968662542,6.5660802939683294e-12,4
"BA kappa=2, detection eta=0.9",squeezed,0.10847106040183782,0.06723942940329816,5.618551538775979,0.010196099529606668,4
"BA kappa=2, detection eta=0.9",fock,0.4087723932402626,0.4586263356802833,4.411347786793565,0.015386740392570795,4
"BA kappa=2, detection eta=0.9",cat_even,-0.32876447108486456,-0.24898348720261948,4.89193605354622,0.030858649195709104,4
"BA kappa=2, detection eta=0.9",cat_odd,-0.29326300928198956,-0.24479388172451147,4.630557349931258,0.03818776300127734,4
"BA kappa=2, detection eta=0.9",squeezed_cat,0.10813894467706514,0.06751534097440344,5.613208941986006,0.010065542911591596,4
"BA kappa=2, detection eta=0.9",opt_no_ba,0.10847106040171581,0.06723942940215243,5.618551538775707,0.010196099529758949,4
