config,state,nbar,qfi_epsilon_a,cutoff,converged
"BA kappa=1, detection eta=0.9",fock,0.5,3.302752203328503,73,True
"BA kappa=1, detection eta=0.9",fock,1.0,7.1200331340761505,73,True
"BA kappa=1, detection eta=0.9",fock,2.0,9.426248370650558,88,True
"BA kappa=1, detection eta=0.9",fock,4.0,12.438982041086481,146,True
"BA kappa=1, detection eta=0.9",fock,6.0,14.407461633761994,206,True
"BA kappa=1, detection eta=0.9",cat_even,0.25,6.520639484106232,73,True
"BA kappa=1, detection eta=0.9",cat_even,0.5,7.827102524763479,73,True
"BA kappa=1, detection eta=0.9",cat_even,1.0,9.120131962776927,73,True
"BA kappa=1, detection eta=0.9",cat_even,2.0,9.131799110713777,88,True
"BA kappa=1, detection eta=0.9",cat_even,4.0,6.494192575610705,146,True
"BA kappa=1, detection eta=0.9",cat_even,6.0,4.67505415466859,206,True
"BA kappa=1, detection eta=0.9",cat_odd,1.0,7.120033134078552,73,True
"BA kappa=1, detection eta=0.9",cat_odd,2.0,9.018471836999886,88,True
"BA kappa=1, detection eta=0.9",cat_odd,4.0,6.4849888629489065,146,True
"BA kappa=1, detection eta=0.9",cat_odd,6.0,4.6747131173370855,206,True
"BA kappa=1, detection eta=0.9",squeezed_cat,0.25,6.669367258206033,73,True
"BA kappa=1, detection eta=0.9",squeezed_cat,0.5,8.211308291937517,73,True
"BA kappa=1, detection eta=0.9",squeezed_cat,1.0,10.202715382295306,99,True
"BA kappa=1, detection eta=0.9",squeezed_cat,2.0,12.400690533972934,161,True
"BA kappa=1, detection eta=0.9",squeezed_cat,4.0,14.39136457503331,198,True
"BA kappa=1, detection eta=0.9",squeezed_cat,6.0,15.329821780976838,377,True
"BA kappa=1, detection eta=0.9",opt_no_ba,0.25,6.670395100044087,73,True
"BA kappa=1, detection eta=0.9",opt_no_ba,0.5,8.214243182434693,73,True
"BA kappa=1, detection eta=0.9",opt_no_ba,1.0,10.21146495247338,99,True
"BA kappa=1, detection eta=0.9",opt_no_ba,2.0,12.421994843370214,161,True
