state,ordering,loss_placement,kappa,qfi_epsilon_a,cutoff,converged
cat_even,BA3,injection,1.5,9.318144480747325,144,True
cat_even,BA3,injection,2.0,9.31814448081476,219,True
cat_even,BA3,injection,3.0,9.318144480722697,438,True
cat_even,BA3,concurrent,0.0,8.343051116216856,73,True
cat_even,BA3,concurrent,0.25,8.193276895410692,73,True
cat_even,BA3,concurrent,0.5,7.775484003015782,73,True
cat_even,BA3,concurrent,1.0,6.477007316035292,88,True
cat_even,BA3,concurrent,1.5,5.133386918502958,144,True
cat_even,BA3,concurrent,2.0,4.0752493293194405,219,True
cat_even,BA3,concurrent,3.0,2.745486658510387,340,True
cat_even,BA3,detection,0.0,7.454515585535395,73,True
cat_even,BA3,detection,0.25,7.123621490959222,73,True
cat_even,BA3,detection,0.5,6.291061906517726,73,True
cat_even,BA3,detection,1.0,4.365569861339974,88,True
cat_even,BA3,detection,1.5,3.0396713256826855,144,True
cat_even,BA3,detection,2.0,2.2369546752090543,219,True
cat_even,BA3,detection,3.0,1.3596618337553315,438,True
fock,BA1,injection,0.0,9.404444438314657,73,True
fock,BA1,injection,0.25,9.404444438314682,73,True
fock,BA1,injection,0.5,9.40444443831467,73,True
fock,BA1,injection,1.0,9.404444438314652,88,True
fock,BA1,injection,1.5,9.404444438314671,144,True
fock,BA1,injection,2.0,9.404444438314686,219,True
fock,BA1,injection,3.0,9.404444438314677,438,True
fock,BA1,concurrent,0.0,8.42032025054196,73,True
fock,BA1,concurrent,0.25,8.277016865178405,73,True
fock,BA1,concurrent,0.5,7.882517853927938,73,True
fock,BA1,concurrent,1.0,6.674923810679772,88,True
fock,BA1,concurrent,1.5,5.364875429182192,144,True
fock,BA1,concurrent,2.0,4.211109032122034,219,True
fock,BA1,concurrent,3.0,2.6079506804492256,340,True
fock,BA1,detection,0.0,7.523555551632503,73,True
fock,BA1,detection,0.25,7.395513986687893,73,True
fock,BA1,detection,0.5,7.043029147740189,73,True
fock,BA1,detection,1.0,5.964043955165935,88,True
fock,BA1,detection,1.5,4.793515818540346,144,True
fock,BA1,detection,2.0,3.7626256241474287,219,True
fock,BA1,detection,3.0,2.330203749553972,438,True
