freq_hz,K,n_target,state,scenario,qfi,eps_min,n_actual,theta,split,method
10.0,9.529879754433946,2.0,coherent,lossless,4.000000000000002,0.4999999999999999,2.0,,,gaussian
10.0,9.529879754433946,2.0,coherent,loss_pre,4.000000000000002,0.4999999999999999,2.0,,,gaussian
10.0,9.529879754433946,2.0,coherent,loss_conc,0.9802201780656252,1.0100390874283371,2.0,,,gaussian
10.0,9.529879754433946,2.0,coherent,loss_post,0.3924272557233627,1.5963217035193837,2.0,,,gaussian
10.0,9.529879754433946,2.0,coherent,loss_post_07,0.13949844931109165,2.6774126441754564,2.0,,,gaussian
10.0,9.529879754433946,2.0,coherent,pn_pre,2.336375384537034,0.654227339675772,2.0000000000000013,,,fock(N=78)
10.0,9.529879754433946,2.0,coherent,pn_conc,0.05355485528795391,4.321162265216592,2.0000000000000013,,,fock(N=96)
10.0,9.529879754433946,2.0,coherent,pn_post,0.04955784449414165,4.492041870731154,2.0000000000000013,,,fock(N=96)
10.0,9.529879754433946,2.0,coherent,pn_then_loss,0.3654415842949912,1.6542114306479319,2.0000000000000013,,,fock(N=96)
10.0,9.529879754433946,2.0,coherent,loss_then_pn,0.053859331648925424,4.30893080545209,2.0000000000000013,,,fock(N=96)
10.0,9.529879754433946,2.0,sqz_vac,lossless,39.5959179422854,0.15891862259785103,2.0,0.0,,gaussian
10.0,9.529879754433946,2.0,sqz_vac,loss_pre,20.95135241165184,0.21847108675421295,2.0,0.0,,gaussian
10.0,9.529879754433946,2.0,sqz_vac,loss_conc,1.8364211500730192,0.7379277748464943,2.0,2.3911010752322315,,gaussian
10.0,9.529879754433946,2.0,sqz_vac,loss_post,0.7970650668979233,1.1200904958135056,2.0,2.7401669256310974,,gaussian
10.0,9.529879754433946,2.0,sqz_vac,loss_post_07,0.5027783520790875,1.4103006787043015,2.0,2.8797932657906435,,gaussian
10.0,9.529879754433946,2.0,sqz_vac,pn_pre,36.04376131636592,0.16656545958378527,1.9999998957484726,0.0,,fock(N=79)
10.0,9.529879754433946,2.0,sqz_vac,pn_conc,37.07321083559792,0.16423658250153525,2.000000000000004,0.0,,fock(N=259)
10.0,9.529879754433946,2.0,sqz_vac,pn_post,35.839681691637594,0.16703901796471726,2.000000000000004,0.0,,fock(N=259)
10.0,9.529879754433946,2.0,sqz_vac,pn_then_loss,0.36398443898167615,1.6575192902246998,2.000000000000004,0.0,,fock(N=261)
10.0,9.529879754433946,2.0,sqz_vac,loss_then_pn,8.543958278503235,0.34211367998447173,2.000000000000004,0.0,,fock(N=261)
10.0,9.529879754433946,2.0,cat,lossless,36.522705062589324,0.1654697199634403,1.9999999999999982,,,fock(N=78)
10.0,9.529879754433946,2.0,cat,loss_pre,17.073098331722353,0.2420158609446017,1.9999999999999982,,,fock(N=79)
10.0,9.529879754433946,2.0,cat,loss_conc,1.0123788364737978,0.993867458685683,1.999999999999997,,,fock(N=245)
10.0,9.529879754433946,2.0,cat,loss_post,0.391935965608208,1.597321881521026,1.999999999999997,,,fock(N=245)
10.0,9.529879754433946,2.0,cat,loss_post_07,0.13416280051764426,2.730133867235847,1.999999999999997,,,fock(N=340)
10.0,9.529879754433946,2.0,cat,pn_pre,33.527646731401504,0.1727024362629599,1.9999999999999982,,,fock(N=79)
10.0,9.529879754433946,2.0,cat,pn_conc,34.76020723279565,0.16961287728838592,1.999999999999997,,,fock(N=245)
10.0,9.529879754433946,2.0,cat,pn_post,33.04931408325062,0.1739477336721173,1.999999999999997,,,fock(N=245)
10.0,9.529879754433946,2.0,cat,pn_then_loss,0.36341788247452284,1.6588107960528937,1.999999999999997,,,fock(N=247)
10.0,9.529879754433946,2.0,cat,loss_then_pn,13.236219867161857,0.2748640957866943,1.999999999999997,,,fock(N=247)
10.0,9.529879754433946,2.0,sqz_cat,lossless,39.595721066854445,0.15891901768010458,2.0000000000000004,0.0,0.75,fock(N=78)
10.0,9.529879754433946,2.0,sqz_cat,loss_pre,20.95013444124688,0.2184774372492766,2.0,0.0,0.75,fock(N=79)
10.0,9.529879754433946,2.0,sqz_cat,loss_conc,1.1620408823050652,0.9276609948053706,2.0000000000000004,0.0,0.75,fock(N=259)
10.0,9.529879754433946,2.0,sqz_cat,loss_post,0.3925031558649166,1.5961673520200574,1.9999999999999718,0.0,0.5,fock(N=259)
10.0,9.529879754433946,2.0,sqz_cat,loss_post_07,0.10577507099742627,3.074739571824236,1.9999999999999727,0.0,0.5,fock(N=340)
10.0,9.529879754433946,2.0,sqz_cat,pn_pre,36.04361923495415,0.1665657878781246,2.0,0.0,0.75,fock(N=79)
10.0,9.529879754433946,2.0,sqz_cat,pn_conc,37.11025848576104,0.16415458228060073,1.9999999999999718,0.0,0.5,fock(N=259)
10.0,9.529879754433946,2.0,sqz_cat,pn_post,35.83942773356827,0.16703960978264015,2.0000000000000004,0.0,0.75,fock(N=259)
10.0,9.529879754433946,2.0,sqz_cat,pn_then_loss,0.36391818246437446,1.6576701709207393,1.9999999999999998,0.0,0.75,fock(N=261)
10.0,9.529879754433946,2.0,sqz_cat,loss_then_pn,8.698238887691494,0.3390660715606362,1.999999999999972,0.0,0.5,fock(N=261)
10.0,9.529879754433946,2.0,fock,lossless,19.9999999848,0.22360679783494958,2.0,,,fock(N=78)
10.0,9.529879754433946,2.0,fock,loss_pre,13.53569377124277,0.2718064383666306,2.0,,,fock(N=78)
