state,freq_hz,kappa_ba,qfi,qfi_noba,N_basis
fock_sup,15.000000000000004,4.232890507388644,24.483861218026597,24.033458116173936,136
fock_sup,24.467248490767076,1.587996598454946,25.088016898468123,24.033458116173936,88
fock_sup,39.90974991392957,0.5939381069970806,24.23385887594584,24.033458116173936,70
fock_sup,65.09878455656568,0.22037437959740575,24.06024674719488,24.033458116173936,63
fock_sup,106.18587587949342,0.08010055864927634,24.03675665358174,24.033458116173936,61
fock_sup,173.20508075688775,0.027681055745495578,24.033832669543628,24.033458116173936,60
fock_sup,282.5234500494769,0.008567951193339625,24.033493477841656,24.033458116173936,60
fock_sup,460.8380971219581,0.0021913727023702098,24.033460284374662,24.033458116173936,60
fock_sup,751.6960157530128,0.00044518184308668895,24.033458182041237,24.033458116173936,60
fock_sup,1226.1288804632343,7.528406783153044e-05,24.033458118057037,24.033458116173936,60
fock_sup,2000.0000000000002,1.1485744427414143e-05,24.033458116218764,24.033458116173936,60
sqz_vac,15.000000000000004,4.232890507388644,26.99003966134925,26.96729389177728,136
sqz_vac,24.467248490767076,1.587996598454946,26.9987152854251,26.96729389177728,88
sqz_vac,39.90974991392957,0.5939381069970806,26.99202985228804,26.96729389177728,70
sqz_vac,65.09878455656568,0.22037437959740575,26.976931511559293,26.96729389177728,63
sqz_vac,106.18587587949342,0.08010055864927634,26.968515908482374,26.96729389177728,61
sqz_vac,173.20508075688775,0.027681055745495578,26.966122886024472,26.96729389177728,60
sqz_vac,282.5234500494769,0.008567951193339625,26.96701714934001,26.96729389177728,60
sqz_vac,460.8380971219581,0.0021913727023702098,26.96723051169622,26.96729389177728,60
sqz_vac,751.6960157530128,0.00044518184308668895,26.967281497161412,26.96729389177728,60
sqz_vac,1226.1288804632343,7.528406783153044e-05,26.96729181299236,26.96729389177728,60
sqz_vac,2000.0000000000002,1.1485744427414143e-05,26.96729357508065,26.96729389177728,60
sqz_coh,15.000000000000004,4.232890507388644,27.291900063810377,27.0702106816651,136
sqz_coh,24.467248490767076,1.587996598454946,27.22974267330047,27.0702106816651,88
sqz_coh,39.90974991392957,0.5939381069970806,27.162189089221595,27.0702106816651,70
sqz_coh,65.09878455656568,0.22037437959740575,27.177696011634243,27.0702106816651,63
sqz_coh,106.18587587949342,0.08010055864927634,27.169174078629705,27.0702106816651,61
sqz_coh,173.20508075688775,0.027681055745495578,27.070092199296752,27.0702106816651,60
sqz_coh,282.5234500494769,0.008567951193339625,27.07017171541511,27.0702106816651,60
sqz_coh,460.8380971219581,0.0021913727023702098,27.07020064273888,27.0702106816651,60
sqz_coh,751.6960157530128,0.00044518184308668895,27.070208638444573,27.0702106816651,60
sqz_coh,1226.1288804632343,7.528406783153044e-05,27.07021033603305,27.0702106816651,60
sqz_coh,2000.0000000000002,1.1485744427414143e-05,27.07021062894992,27.0702106816651,60
coherent,15.000000000000004,4.232890507388644,9.235299863154003,3.795610870391212,136
coherent,24.467248490767076,1.587996598454946,5.6188094256578625,3.795610870391212,88
coherent,39.90974991392957,0.5939381069970806,4.067958290071639,3.795610870391212,70
coherent,65.09878455656568,0.22037437959740575,3.8334651438893097,3.795610870391212,63
coherent,106.18587587949342,0.08010055864927634,3.8006185885855017,3.795610870391212,61
coherent,173.20508075688775,0.027681055745495578,3.79620902738596,3.795610870391212,60
coherent,282.5234500494769,0.008567951193339625,3.7956681810726973,3.795610870391212,60
coherent,460.8380971219581,0.0021913727023702098,3.7956146220100933,3.795610870391212,60
coherent,751.6960157530128,0.00044518184308668895,3.7956110131974885,3.795610870391212,60
coherent,1226.1288804632343,7.528406783153044e-05,3.795610874471775,3.795610870391212,60
coherent,2000.0000000000002,1.1485744427414143e-05,3.7956108704789493,3.795610870391212,60
