state,freq_hz,kappa_ba,cfi_homodyne_x,cfi_homodyne_opt,theta_opt
fock_sup,15.000000000000004,4.232890507388644,13.215635999547022,13.215635999547022,0.0
fock_sup,24.467248490767076,1.587996598454946,13.145261702279509,13.145261702279509,0.0
fock_sup,39.90974991392957,0.5939381069970806,13.377414013426629,13.377414013426629,0.0
fock_sup,65.09878455656568,0.22037437959740575,13.180614219839551,13.180614219839551,0.0
fock_sup,106.18587587949342,0.08010055864927634,13.219511940169381,13.219511940169381,0.0
fock_sup,173.20508075688775,0.027681055745495578,13.226177097857459,13.226177097857459,0.0
fock_sup,282.5234500494769,0.008567951193339625,13.226177097265303,13.226177097265303,0.0
fock_sup,460.8380971219581,0.0021913727023702098,13.226177097255707,13.226177097255707,0.0
fock_sup,751.6960157530128,0.00044518184308668895,13.226177097213732,13.226177097213732,0.0
fock_sup,1226.1288804632343,7.528406783153044e-05,13.226177097242905,13.226177097242905,0.0
fock_sup,2000.0000000000002,1.1485744427414143e-05,13.22617709721418,13.22617709721418,0.0
sqz_vac,15.000000000000004,4.232890507388644,26.924523839833796,26.924523839833796,0.0
sqz_vac,24.467248490767076,1.587996598454946,26.9097871044442,26.9097871044442,0.0
sqz_vac,39.90974991392957,0.5939381069970806,26.825962210282498,26.825962210282498,0.0
sqz_vac,65.09878455656568,0.22037437959740575,26.758459612312098,26.758459612312098,0.0
sqz_vac,106.18587587949342,0.08010055864927634,26.73010484093877,26.73010484093877,0.0
sqz_vac,173.20508075688775,0.027681055745495578,26.71201783275267,26.71201783275267,0.0
sqz_vac,282.5234500494769,0.008567951193339625,26.713999337396164,26.713999337396164,0.0
sqz_vac,460.8380971219581,0.0021913727023702098,26.714531665497546,26.714531665497546,0.0
sqz_vac,751.6960157530128,0.00044518184308668895,26.714665919189333,26.714665919189333,0.0
sqz_vac,1226.1288804632343,7.528406783153044e-05,26.714693721801297,26.714693721801297,0.0
sqz_vac,2000.0000000000002,1.1485744427414143e-05,26.714698494576755,26.714698494576755,0.0
sqz_coh,15.000000000000004,4.232890507388644,27.230952932744273,27.230952932744273,0.0
sqz_coh,24.467248490767076,1.587996598454946,27.183163483443217,27.183163483443217,0.0
sqz_coh,39.90974991392957,0.5939381069970806,27.047823709285012,27.047823709285012,0.0
sqz_coh,65.09878455656568,0.22037437959740575,27.00277943920995,27.00277943920995,0.0
sqz_coh,106.18587587949342,0.08010055864927634,26.964380595198723,26.964380595198723,0.0
sqz_coh,173.20508075688775,0.027681055745495578,26.79039975039345,26.79039975039345,0.0
sqz_coh,282.5234500494769,0.008567951193339625,26.79063297366128,26.79063297366128,0.0
sqz_coh,460.8380971219581,0.0021913727023702098,26.790684385317864,26.790684385317864,0.0
sqz_coh,751.6960157530128,0.00044518184308668895,26.790695475636593,26.790695475636593,0.0
sqz_coh,1226.1288804632343,7.528406783153044e-05,26.790697654810803,26.790697654810803,0.0
sqz_coh,2000.0000000000002,1.1485744427414143e-05,26.79069802460746,26.79069802460746,0.0
coherent,15.000000000000004,4.232890507388644,3.276597172896923,6.099451643976063,0.12566370614359174
coherent,24.467248490767076,1.587996598454946,3.7956098706433106,5.4197444539699084,0.3769911184307752
coherent,39.90974991392957,0.5939381069970806,3.7956108736933176,4.063934643866069,0.25132741228718347
coherent,65.09878455656568,0.22037437959740575,3.7956108722604913,3.830107563704238,0.12566370614359174
coherent,106.18587587949342,0.08010055864927634,3.795610871661114,3.795610871661114,0.0
coherent,173.20508075688775,0.027681055745495578,3.7956108712869336,3.7956108712869336,0.0
coherent,282.5234500494769,0.008567951193339625,3.7956108715201773,3.7956108715201773,0.0
coherent,460.8380971219581,0.0021913727023702098,3.795610871686524,3.795610871686524,0.0
coherent,751.6960157530128,0.00044518184308668895,3.795610871720765,3.795610871720765,0.0
coherent,1226.1288804632343,7.528406783153044e-05,3.795610871608157,3.795610871608157,0.0
coherent,2000.0000000000002,1.1485744427414143e-05,3.7956108715758408,3.7956108715758408,0.0
