state,config,weight,metric_i,metric_ii,metric_iii
sqz_vac,detection,flat,18.300626297123735,4.796405765091207,131.6580992738388
sqz_cat,detection,flat,18.27202209791802,4.7908675033662735,131.45084731500816
cat,detection,flat,14.793169782248624,3.2411751650390506,105.76710521112747
opt_fock_sup,detection,flat,13.470498389711974,2.625404495569263,96.72602134084366
fock,detection,flat,11.98437641655912,4.7414660465712055,87.94754954533656
coherent,detection,flat,3.58110986584799,2.385137085794352,27.37820439643131
sqz_vac,detection,inspiral,8.130571369829909,4.796405765091207,131.6580992738388
sqz_cat,detection,inspiral,8.119972388785591,4.7908675033662735,131.45084731500816
fock,detection,inspiral,7.126700446109848,4.7414660465712055,87.94754954533656
cat,detection,inspiral,5.72508502293799,3.2411751650390506,105.76710521112747
opt_fock_sup,detection,inspiral,4.807467283542799,2.625404495569263,96.72602134084366
coherent,detection,inspiral,2.928687437941056,2.385137085794352,27.37820439643131
sqz_vac,injection,flat,20.95132292192094,20.95132292192089,167.6105833753677
sqz_cat,injection,flat,20.91842269354968,20.91842269354956,167.34738154839732
cat,injection,flat,17.073098322530427,17.073098322530416,136.58478658024347
opt_fock_sup,injection,flat,15.597042797747049,15.59704279774704,124.77634238197642
fock,injection,flat,13.535693770456119,13.5356937704561,108.28555016364896
coherent,injection,flat,3.9999999991531188,3.9999999991449537,31.999999993212796
sqz_vac,injection,inspiral,20.95132292192101,20.95132292192089,167.6105833753677
sqz_cat,injection,inspiral,20.918422693549687,20.91842269354956,167.34738154839732
cat,injection,inspiral,17.07309832253046,17.073098322530416,136.58478658024347
opt_fock_sup,injection,inspiral,15.597042797747067,15.59704279774704,124.77634238197642
fock,injection,inspiral,13.53569377045613,13.5356937704561,108.28555016364896
coherent,injection,inspiral,3.9999999991485717,3.9999999991449537,31.999999993212796
