state,n_target,qfi_lossless,qfi_weak_ba,conv_weak_ba,qfi_strong_ba,conv_strong_ba
coherent,1.0,3.9999999999999964,3.5979801900294,True,3.4159857511374594,True
coherent,2.0,4.000000000000014,3.597980190044057,True,3.415986356156064,True
coherent,4.0,3.9999999999999716,3.5979801900357162,True,3.4159857432178398,True
coherent,8.0,3.9999999999998863,3.5979791803765417,True,3.4159856609018613,True
sqz_vac,1.0,23.313708498984674,14.116115281076674,True,11.49614261470623,True
sqz_vac,2.0,39.5959179422655,18.79549177935508,True,14.393778092187327,True
sqz_vac,4.0,71.77708763999571,23.876606252212078,True,17.172147530911822,True
sqz_vac,8.0,135.88223729041437,28.320753611316775,True,19.33899436002328,True
cat,1.0,21.597429122018585,12.841729723860043,True,10.35646319222905,True
cat,2.0,36.52270511179768,15.305941608040772,True,10.990907727671038,True
cat,4.0,68.0213623814396,13.980831809688787,True,8.34168508804008,True
cat,8.0,132.00001440377113,7.758766236442895,True,4.540142050532925,True
sqz_cat,1.0,23.308723735293793,14.105997904443146,True,11.48672997103597,True
sqz_cat,2.0,39.59003473379466,18.76589715854417,True,14.36919471923194,True
sqz_cat,4.0,71.77185226838643,23.81181298787518,True,17.127731074206388,True
sqz_cat,8.0,135.8786923907259,28.227310615167358,True,19.285766211007555,True
fock,1.0,12.0,8.771406230856401,True,7.711763070667292,True
fock,2.0,20.0,12.159825893860294,True,10.362641023879364,True
fock,4.0,35.99999999999999,15.964656461035553,True,13.62679641641896,True
fock,8.0,68.0,18.633019560354892,True,16.817014328458633,True
