state,config,f_hz,kappa_ba,qfi,qfi_lossless,N_basis,converged,n_target,eta
coherent,injection,1000.0,0.00016056163311836322,3.999999999153579,4.000000000000014,20,True,2.0,0.9
coherent,injection,571.8603679678212,0.0011149643575671764,3.999999999153619,4.000000000000014,20,True,2.0,0.9
coherent,injection,327.02428045229215,0.005834230226925198,3.9999999991538564,4.000000000000014,20,True,2.0,0.9
coherent,injection,187.01222535385972,0.023247249677455617,3.999999999152468,4.000000000000014,20,True,2.0,0.9
coherent,injection,106.94488000533931,0.07890791070042819,3.9999999991465987,4.000000000000014,20,True,2.0,0.9
coherent,injection,61.15753843212785,0.25029573720667914,3.9999999991612203,4.000000000000014,20,True,2.0,0.9
coherent,injection,34.973572431802815,0.7748301026374895,3.9999999991449537,4.000000000000014,20,True,2.0,0.9
coherent,injection,20.0,2.37894731178945,3.999999999146503,4.000000000000014,20,True,2.0,0.9
coherent,detection,1000.0,0.00016056163311836322,3.599999986714777,4.000000000000014,20,True,2.0,0.9
coherent,detection,571.8603679678212,0.0011149643575671764,3.59999959712961,4.000000000000014,20,True,2.0,0.9
coherent,detection,327.02428045229215,0.005834230226925198,3.5999889715457964,4.000000000000014,20,True,2.0,0.9
coherent,detection,187.01222535385972,0.023247249677455617,3.599824906009977,4.000000000000014,20,True,2.0,0.9
coherent,detection,106.94488000533931,0.07890791070042819,3.5979837571949993,4.000000000000014,20,True,2.0,0.9
coherent,detection,61.15753843212785,0.25029573720667914,3.5798158123228623,4.000000000000014,20,True,2.0,0.9
coherent,detection,34.973572431802815,0.7748301026374895,3.4154542797189356,4.000000000000014,40,True,2.0,0.9
coherent,detection,20.0,2.37894731178945,2.385137085794352,4.000000000000014,115,True,2.0,0.9
sqz_vac,injection,1000.0,0.00016056163311836322,20.951322921921033,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,571.8603679678212,0.0011149643575671764,20.95132292192089,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,327.02428045229215,0.005834230226925198,20.951322921920948,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,187.01222535385972,0.023247249677455617,20.951322921920934,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,106.94488000533931,0.07890791070042819,20.95132292192089,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,61.15753843212785,0.25029573720667914,20.951322921920898,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,34.973572431802815,0.7748301026374895,20.951322921921026,39.59591794226338,70,True,2.0,0.9
sqz_vac,injection,20.0,2.37894731178945,20.951322921921072,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,1000.0,0.00016056163311836322,18.856190377937214,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,571.8603679678212,0.0011149643575671764,18.85617848802885,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,327.02428045229215,0.005834230226925198,18.85585818676052,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,187.01222535385972,0.023247249677455617,18.850914091728878,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,106.94488000533931,0.07890791070042819,18.795574221658015,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,61.15753843212785,0.25029573720667914,18.263556256467815,39.59591794226338,70,True,2.0,0.9
sqz_vac,detection,34.973572431802815,0.7748301026374895,14.383421886166278,39.59591794226338,100,True,2.0,0.9
sqz_vac,detection,20.0,2.37894731178945,4.796405765091207,39.59591794226338,345,True,2.0,0.9
cat,injection,1000.0,0.00016056163311836322,17.073098322530424,36.52270511179768,20,True,2.0,0.9
cat,injection,571.8603679678212,0.0011149643575671764,17.07309832253042,36.52270511179768,20,True,2.0,0.9
cat,injection,327.02428045229215,0.005834230226925198,17.073098322530445,36.52270511179768,20,True,2.0,0.9
cat,injection,187.01222535385972,0.023247249677455617,17.073098322530416,36.52270511179768,20,True,2.0,0.9
cat,injection,106.94488000533931,0.07890791070042819,17.073098322530427,36.52270511179768,20,True,2.0,0.9
cat,injection,61.15753843212785,0.25029573720667914,17.073098322530427,36.52270511179768,20,True,2.0,0.9
cat,injection,34.973572431802815,0.7748301026374895,17.07309832253042,36.52270511179768,20,True,2.0,0.9
cat,injection,20.0,2.37894731178945,17.073098322530495,36.52270511179768,20,True,2.0,0.9
cat,detection,1000.0,0.00016056163311836322,15.36578823748716,36.52270511179768,20,True,2.0,0.9
cat,detection,571.8603679678212,0.0011149643575671764,15.365776518326161,36.52270511179768,20,True,2.0,0.9
cat,detection,327.02428045229215,0.005834230226925198,15.365460883404555,36.52270511179768,20,True,2.0,0.9
cat,detection,187.01222535385972,0.023247249677455617,15.360588315148764,36.52270511179768,20,True,2.0,0.9
