state,placement,f_hz,kappa_ba,qfi,N_basis,converged
sqz_vac,injection,1000.0,0.00016056163311836322,20.95132292192103,70,True
sqz_vac,injection,571.8603679678212,0.0011149643575671764,20.951322921920898,70,True
sqz_vac,injection,327.02428045229215,0.005834230226925198,20.95132292192093,70,True
sqz_vac,injection,187.01222535385972,0.023247249677455617,20.95132292192095,70,True
sqz_vac,injection,106.94488000533931,0.07890791070042819,20.951322921920912,70,True
sqz_vac,injection,61.15753843212785,0.25029573720667914,20.95132292192087,70,True
sqz_vac,injection,34.973572431802815,0.7748301026374895,20.951322921920983,70,True
sqz_vac,injection,20.0,2.37894731178945,20.951322921920816,70,True
sqz_vac,mid,1000.0,0.00016056163311836322,20.951322642152405,70,True
sqz_vac,mid,571.8603679678212,0.0011149643575671764,20.95130943114314,70,True
sqz_vac,mid,327.02428045229215,0.005834230226925198,20.95095354084498,70,True
sqz_vac,mid,187.01222535385972,0.023247249677455617,20.94546010192094,70,True
sqz_vac,mid,106.94488000533931,0.07890791070042819,20.883971357397776,70,True
sqz_vac,mid,61.15753843212785,0.25029573720667914,20.292840284964207,70,True
sqz_vac,mid,34.973572431802815,0.7748301026374895,15.982999615017167,70,True
sqz_vac,mid,20.0,2.37894731178945,5.329383614243752,315,True
sqz_vac,detection,1000.0,0.00016056163311836322,18.8561903779372,70,True
sqz_vac,detection,571.8603679678212,0.0011149643575671764,18.85617848802885,70,True
sqz_vac,detection,327.02428045229215,0.005834230226925198,18.85585818676053,70,True
sqz_vac,detection,187.01222535385972,0.023247249677455617,18.850914091728868,70,True
sqz_vac,detection,106.94488000533931,0.07890791070042819,18.795574221658022,70,True
sqz_vac,detection,61.15753843212785,0.25029573720667914,18.26355625646782,70,True
sqz_vac,detection,34.973572431802815,0.7748301026374895,14.383421886166303,100,True
sqz_vac,detection,20.0,2.37894731178945,4.796405765091169,345,True
sqz_vac,channel,1000.0,0.00016056163311836322,19.880767173516144,70,True
sqz_vac,channel,571.8603679678212,0.0011149643575671764,19.880762872546583,70,True
sqz_vac,channel,327.02428045229215,0.005834230226925198,19.880647007720405,70,True
sqz_vac,channel,187.01222535385972,0.023247249677455617,19.87885808810063,70,True
sqz_vac,channel,106.94488000533931,0.07890791070042819,19.858793795811447,70,True
sqz_vac,channel,61.15753843212785,0.25029573720667914,19.661876680603644,70,True
sqz_vac,channel,34.973572431802815,0.7748301026374895,17.964234418380588,100,True
sqz_vac,channel,20.0,2.37894731178945,9.91217157289376,498,True
cat,injection,1000.0,0.00016056163311836322,17.073098322530427,20,True
cat,injection,571.8603679678212,0.0011149643575671764,17.07309832253042,20,True
cat,injection,327.02428045229215,0.005834230226925198,17.073098322530427,20,True
